                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.692,                 3.9286,                 2.6425,                0.50588,                0.36053,                0.35298,                0.16292,                 2.0521,                 1.9072,                 1.5565,             0.00066541,             0.00066541,             0.00066541
                      2,                 1.6363,                 1.4895,                 1.5081,                0.49187,                0.44066,                0.42902,                0.21692,                 1.9017,                 1.5726,                 1.3613,              0.0012002,              0.0012002,              0.0012002
                      3,                 1.4436,                 1.1957,                 1.3186,                0.61405,                0.55382,                 0.5785,                0.33096,                 1.5425,                 1.3433,                 1.1768,               0.001603,               0.001603,               0.001603
                      4,                 1.3069,                 1.0322,                 1.2141,                 0.6612,                0.62386,                0.66195,                0.40096,                  1.406,                 1.1428,                 1.0923,               0.001406,               0.001406,               0.001406
                      5,                 1.2081,                0.93549,                 1.1441,                0.70265,                0.66467,                0.70937,                0.42517,                 1.3928,                 1.0636,                  1.078,               0.001208,               0.001208,               0.001208
                      6,                 1.1257,                0.85359,                 1.0928,                0.72436,                0.68438,                0.73728,                0.46349,                 1.3155,                 1.0083,                 1.0392,                0.00101,                0.00101,                0.00101
                      7,                 1.0594,                0.79559,                 1.0515,                0.73664,                0.66506,                0.72919,                0.47395,                 1.2445,                 1.0199,                 1.0194,               0.000812,               0.000812,               0.000812
                      8,                 1.0139,                0.74226,                 1.0273,                0.78158,                 0.7317,                0.79725,                0.52873,                 1.1733,                 0.8961,                0.98684,               0.000614,               0.000614,               0.000614
                      9,                0.96691,                0.70222,                 1.0018,                0.77718,                0.73019,                 0.7941,                0.52169,                 1.1849,                0.89792,                0.98041,               0.000416,               0.000416,               0.000416
                     10,                0.92724,                0.66593,                0.98121,                0.79267,                0.73817,                0.80638,                0.54301,                 1.1276,                0.85081,                 0.9624,               0.000218,               0.000218,               0.000218
