                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7495,                 1.2175,                 1.7265,                0.75941,                0.60964,                 0.7054,                0.35663,                 1.7832,                 1.4126,                 1.7809,             0.00066595,             0.00066595,             0.00066595
                      2,                 1.6194,                 1.0863,                 1.6032,                0.75595,                0.58071,                0.68953,                0.35892,                 1.7543,                 1.3709,                 1.7796,              0.0012007,              0.0012007,              0.0012007
                      3,                 1.5807,                 1.0441,                 1.5683,                0.80256,                0.64819,                0.75655,                0.41544,                 1.6522,                 1.2188,                 1.6685,              0.0016034,              0.0016034,              0.0016034
                      4,                 1.5139,                0.95911,                   1.52,                0.78884,                0.66615,                0.75856,                0.41998,                 1.6324,                 1.2463,                 1.6695,               0.001406,               0.001406,               0.001406
                      5,                 1.4705,                0.90652,                 1.4782,                0.80468,                0.66506,                0.76935,                0.43134,                 1.6032,                  1.175,                 1.6608,               0.001208,               0.001208,               0.001208
                      6,                 1.4334,                0.85219,                 1.4572,                0.83896,                0.71823,                0.81301,                0.47104,                  1.543,                 1.0736,                 1.5952,                0.00101,                0.00101,                0.00101
                      7,                 1.4016,                0.80783,                  1.427,                0.85889,                0.70908,                0.80807,                0.46103,                 1.5568,                 1.1097,                 1.6153,               0.000812,               0.000812,               0.000812
                      8,                 1.3657,                0.77692,                 1.3979,                0.85782,                0.71518,                0.81193,                0.47733,                 1.5035,                 1.0828,                 1.5696,               0.000614,               0.000614,               0.000614
                      9,                 1.3371,                0.74646,                 1.3723,                0.84685,                0.73799,                0.82606,                0.48368,                 1.5101,                 1.0081,                 1.5662,               0.000416,               0.000416,               0.000416
                     10,                 1.3087,                0.71655,                 1.3503,                 0.8645,                0.74511,                0.83177,                0.49301,                  1.504,                 1.0046,                 1.5547,               0.000218,               0.000218,               0.000218
